,price,bathrooms,bedrooms,city,homeType,livingArea,zipcode,priceReduction,daysOnZillow,latitude,longitude,30_year_mortgage
508,659990.0,4.0,4.0,Saratoga Springs,SINGLE_FAMILY,3337.0,84045,,-1,40.339973,-111.93535,4353.318768483553
509,608990.0,2.0,3.0,Saratoga Springs,SINGLE_FAMILY,2338.0,84045,,-1,40.339973,-111.93535,4016.920857617235
510,624990.0,3.0,4.0,Saratoga Springs,SINGLE_FAMILY,2806.0,84045,,-1,40.339973,-111.93535,4122.457457104707
511,424900.0,2.0,3.0,Payson,SINGLE_FAMILY,2662.0,84651,,-1,40.032795,-111.733345,2802.6563201391864
512,625000.0,4.0,5.0,Lehi,SINGLE_FAMILY,3005.0,84043,"$10,000 (Nov 1)",-1,40.453556,-111.89607,4122.523417479387
513,474900.0,3.0,4.0,American Fork,TOWNHOUSE,1902.0,84003,,18,40.38412,-111.77483,3132.458193537537
514,529990.0,3.0,4.0,Lehi,SINGLE_FAMILY,2696.0,84043,,-1,40.39999,-111.9072,3495.8338976478403
515,546990.0,3.0,3.0,Lehi,SINGLE_FAMILY,2945.0,84043,,-1,40.39999,-111.9072,3607.96653460328
517,539990.0,3.0,3.0,Lehi,SINGLE_FAMILY,2945.0,84043,"$5,000 (Nov 1)",-1,40.39999,-111.9072,3561.7942723275105
518,472507.0,3.0,3.0,Eagle Mountain,SINGLE_FAMILY,1970.0,84005,,-1,40.324318,-112.01573,3116.673875876692
519,272250.0,1.0,3.0,Provo,CONDO,1089.0,84601,,19,40.22794,-111.66515,1795.771200654021
520,669900.0,3.0,3.0,Vineyard,SINGLE_FAMILY,2512.0,84059,"$3,100 (Nov 6)",-1,40.30781,-111.75958,4418.685499791106
521,639900.0,5.0,4.0,Saratoga Springs,SINGLE_FAMILY,3682.0,84045,,19,,,4220.804375752095
522,624900.0,3.0,5.0,Orem,SINGLE_FAMILY,3404.0,84058,"$10,000 (Nov 8)",-1,40.26328,-111.69287,4121.863813732591
523,512500.0,2.0,3.0,Cedar Hills,SINGLE_FAMILY,2554.0,84062,"$12,400 (Nov 8)",-1,40.407578,-111.76713,3380.469202333097
524,1886472.0,6.0,4.0,Heber City,TOWNHOUSE,3243.0,84032,,-1,,,12443.239994270678
525,425000.0,1.0,3.0,Orem,SINGLE_FAMILY,1225.0,84057,,19,40.309475,-111.69041,2803.315923885983
526,611000.0,3.0,5.0,Springville,SINGLE_FAMILY,3063.0,84663,"$14,000 (Nov 6)",-1,40.164894,-111.57838,4030.1788929278487
527,324900.0,1.0,2.0,Lehi,SINGLE_FAMILY,576.0,84043,"$24,100 (Nov 7)",-1,40.39383,-111.85183,2143.0525733424847
528,510800.0,3.0,3.0,Payson,SINGLE_FAMILY,2051.0,84651,$100 (Nov 8),19,40.021717,-111.751396,3369.2559386375538
529,535000.0,4.0,4.0,Saratoga Springs,SINGLE_FAMILY,2520.0,84045,"$10,000 (Nov 7)",-1,40.348602,-111.90603,3528.8800453623553
